full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2024-06-17T00:33:26+0000,1010479,33126,Ruby,13776,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2024-06-17T13:50:14+0000,22884,9481,JavaScript,2085,[]
buffer/thug,Python low-interaction honeyclient,https://github.com/buffer/thug,['shellcode'],1,2024-06-17T13:36:05+0000,46407,964,Python,204,[]
Gallopsled/pwntools,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,"['exploit', 'shellcode']",2,2024-06-17T12:55:07+0000,28333,11629,Python,1668,[]
commixproject/commix,Automated All-in-One OS Command Injection Exploitation Tool.,https://github.com/commixproject/commix,"['command injection', 'exploit']",2,2024-06-17T04:46:15+0000,7019,4387,Python,801,[]
htrgouvea/spellbook,Framework for rapid development of offensive security tools,https://github.com/htrgouvea/spellbook,['exploit'],1,2024-06-17T21:23:14+0000,72667,96,Perl,22,[]
vulsio/go-exploitdb,"Tool for searching Exploits from Exploit Databases, etc.",https://github.com/vulsio/go-exploitdb,['exploit'],1,2024-06-17T23:14:45+0000,775,227,Go,50,[]
gentoo-mirror/zerodaysfordays,Jakob L. Kreuze's personal overlay.,https://github.com/gentoo-mirror/zerodaysfordays,['zeroday'],1,2024-06-17T01:03:58+0000,406,0,Shell,0,[]
TH3xACE/SUDO_KILLER,"A tool designed to exploit a privilege escalation vulnerability in the sudo program on Unix-like systems. It takes advantage of a specific misconfiguration or flaw in sudo to gain elevated privileges on the system, essentially allowing a regular user to ex",https://github.com/TH3xACE/SUDO_KILLER,['exploit'],1,2024-06-17T16:10:56+0000,4925,2124,Shell,247,[]
drb-ra/C2IntelFeeds,Automatically created C2 Feeds,https://github.com/drb-ra/C2IntelFeeds,['metasploit module OR payload'],1,2024-06-17T04:31:54+0000,416514,454,REXX,43,[]
nomi-sec/PoC-in-GitHub,📡 PoC auto collect from GitHub. ⚠️ Be careful Malware.,https://github.com/nomi-sec/PoC-in-GitHub,"['cve poc', 'exploit', 'vulnerability poc']",3,2024-06-17T00:34:58+0000,472421,6117,,1133,[]
nomi-sec/NVD-Exploit-List-Ja,🔍NVD exploit & JVN(Japan Vulnerability Notes) easy description,https://github.com/nomi-sec/NVD-Exploit-List-Ja,['exploit'],1,2024-06-17T15:00:58+0000,67053,79,,36,[]
vulsio/go-msfdb,CVEs <--> Metasploit-Framework modules,https://github.com/vulsio/go-msfdb,['metasploit module OR payload'],1,2024-06-17T23:18:50+0000,278,23,Go,9,[]
darky/node-remote-repl,Node.js remote code execution via inspect protocol for REPL driven development,https://github.com/darky/node-remote-repl,['remote code execution'],1,2024-06-17T09:03:05+0000,174,16,TypeScript,0,[]
xGinko/AnarchyExploitFixes,Fix exploits on anarchy Minecraft servers,https://github.com/xGinko/AnarchyExploitFixes,['exploit'],1,2024-06-17T00:35:22+0000,4396,280,Java,52,[]
bitdefender/bddisasm,"bddisasm is a fast, lightweight, x86/x64 instruction decoder.  The project also features a fast, basic, x86/x64 instruction emulator, designed specifically to detect shellcode-like behavior.",https://github.com/bitdefender/bddisasm,['shellcode'],1,2024-06-17T08:05:34+0000,6237,855,C,109,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2024-06-17T05:04:21+0000,1692562,112,,34,[]
Discord-Oxygen/Discord-Console-hacks,A collection of JavaScript Codes I've made to enhance the User Experience of Discord and some other Discord related stuff,https://github.com/Discord-Oxygen/Discord-Console-hacks,['exploit'],1,2024-06-17T17:59:38+0000,169,518,,114,[]
XenoAmess/metasploit-java-external-module,java external module for metasploit framework.,https://github.com/XenoAmess/metasploit-java-external-module,['metasploit module OR payload'],1,2024-06-17T02:57:06+0000,7194,2,Java,0,[]
tencentcloud-sdk-php/rce,None,https://github.com/tencentcloud-sdk-php/rce,['rce'],1,2024-06-17T21:11:14+0000,245,0,PHP,0,[]
hansmach1ne/LFImap,Local File Inclusion discovery and exploitation tool,https://github.com/hansmach1ne/LFImap,['exploit'],1,2024-06-17T05:28:02+0000,291,187,Python,29,[]
ycdxsb/PocOrExp_in_Github,聚合Github上已有的Poc或者Exp，CVE信息来自CVE官网。Auto Collect Poc Or Exp from Github by CVE ID.,https://github.com/ycdxsb/PocOrExp_in_Github,"['cve poc', 'exploit']",2,2024-06-17T04:03:56+0000,496244,850,Python,191,[]
arttnba3/CVE-2016-5195,my personal POC of CVE-2016-5195(dirtyCOW),https://github.com/arttnba3/CVE-2016-5195,"['cve poc', 'cve-2 OR cve_2']",2,2024-06-17T00:25:26+0000,3,2,C,0,['CVE-2016-5195']
IOxCyber/CyberEssentials,"A comprehensive repo delving into the realms of  Network Security concepts, Basic Security Concepts, networking concepts, and essential security tools. This initiative aims to provide a hands-on exploration of crucial aspects within the cybersecurity lands",https://github.com/IOxCyber/CyberEssentials,"['metasploit module OR payload', 'zeroday']",2,2024-06-17T02:21:51+0000,433,2,,0,[]
Cobalt-Strike/community_kit,"Cobalt Strike is a post-exploitation framework designed to be extended and customized by the user community. Several excellent tools and scripts have been written and published, but they can be challenging to locate. Community Kit is a central repository o",https://github.com/Cobalt-Strike/community_kit,['exploit'],1,2024-06-17T01:23:34+0000,3496,290,HTML,19,[]
gmatuz/inthewilddb,Hourly updated database of exploit and exploitation reports,https://github.com/gmatuz/inthewilddb,['exploit'],1,2024-06-17T05:07:07+0000,3474,197,Python,16,[]
yaklang/yakit,Cyber Security ALL-IN-ONE Platform,https://github.com/yaklang/yakit,['exploit'],1,2024-06-17T04:02:59+0000,70263,6192,TypeScript,793,[]
hrbrmstr/cisa-known-exploited-vulns,Daily archiver & triage issue creator for new releases of CISA's Known Exploited Vulnerabilities list,https://github.com/hrbrmstr/cisa-known-exploited-vulns,['exploit'],1,2024-06-17T18:10:51+0000,11490,30,HTML,4,[]
Winds-Studio/Surf,Fix exploits and remove illegal/NBT items for anarchy servers,https://github.com/Winds-Studio/Surf,['exploit'],1,2024-06-17T00:26:42+0000,1150,21,Java,3,[]
vulsio/go-kev,Build a local copy of Known Exploited Vulnerabilities Catalog by CISA. Server mode for easy querying. ,https://github.com/vulsio/go-kev,['exploit'],1,2024-06-17T23:19:31+0000,183,17,Go,6,[]
trickest/cve,Gather and update all available and newest CVEs with their PoC.,https://github.com/trickest/cve,"['cve poc', 'exploit', 'vulnerability poc']",3,2024-06-17T02:07:02+0000,338101,6218,HTML,778,[]
arttnba3/CVE-2022-0847,my personal exploit of CVE-2022-0847(dirty pipe),https://github.com/arttnba3/CVE-2022-0847,"['cve-2 OR cve_2', 'exploit']",2,2024-06-17T00:32:05+0000,3,6,C,1,['CVE-2022-0847']
GhostTroops/TOP,TOP All bugbounty pentesting CVE-2023- POC Exp  RCE example payload  Things,https://github.com/GhostTroops/TOP,"['cve poc', 'exploit', 'rce', 'rce poc', 'vulnerability poc']",5,2024-06-17T00:56:12+0000,1186,632,Shell,117,[]
firefart/stunner,"Stunner is a tool to test and exploit STUN, TURN and TURN over TCP servers.",https://github.com/firefart/stunner,['exploit'],1,2024-06-17T21:31:25+0000,228,723,Go,40,[]
barilo-egor/rce,None,https://github.com/barilo-egor/rce,['rce'],1,2024-06-17T12:23:36+0000,12851,0,Java,1,[]
ewertonfelipee/Exploits-in-C,Exploits studies in C Lang by Hacking: The Art Exploitation book,https://github.com/ewertonfelipee/Exploits-in-C,['exploit'],1,2024-06-17T12:35:34+0000,13,0,C,0,[]
sari3l/Poc-Monitor,🔍 Github CVE POC 信息监控推送 🚀,https://github.com/sari3l/Poc-Monitor,['cve poc'],1,2024-06-17T04:40:01+0000,193399,231,Go,50,[]
vangoghworldwide/RCE,Research data about artworks from Vincent van Gogh,https://github.com/vangoghworldwide/RCE,['rce'],1,2024-06-17T14:36:26+0000,1248,0,,0,[]
tg12/PoC_CVEs,PoC_CVEs,https://github.com/tg12/PoC_CVEs,['cve poc'],1,2024-06-17T08:03:16+0000,24204,157,,22,[]
kamalmjt/emerging-attackers,"Emerging attacks is a blacklist of Malicious IPs that perform live attacks, the blacklist is updated every 24 hours. The blacklist includes any IP address that has performed port scans, brute force attacks, SQL injection attempts, LDAP, local or remote fil",https://github.com/kamalmjt/emerging-attackers,['exploit'],1,2024-06-17T23:05:01+0000,701,0,,0,[]
FFJ1/Roblox-Exploits,None,https://github.com/FFJ1/Roblox-Exploits,['exploit'],1,2024-06-17T16:44:11+0000,22930,1,Lua,2,[]
adminlove520/Poc-Monitor_v1.0.1,威胁情报-漏洞存储库,https://github.com/adminlove520/Poc-Monitor_v1.0.1,"['cve poc', 'exploit']",2,2024-06-17T04:32:34+0000,210136,117,Go,15,[]
unknownhad/CloudIntel,"This repo contains IOC, malware and malware analysis associated with Public cloud",https://github.com/unknownhad/CloudIntel,['exploit'],1,2024-06-17T09:00:31+0000,12848,233,,18,[]
BrandonHarrisonCode/RCE,Rust Chess Engine,https://github.com/BrandonHarrisonCode/RCE,['rce'],1,2024-06-17T19:45:12+0000,460,0,Rust,0,[]
TURROKS/CVE_Prioritizer,"Streamline vulnerability patching with CVSS, EPSS, and CISA's Known Exploited Vulnerabilities. Prioritize actions based on real-time threat information, gain a competitive advantage, and stay informed about the latest trends.",https://github.com/TURROKS/CVE_Prioritizer,['exploit'],1,2024-06-17T08:53:11+0000,7058,453,Python,52,[]
sec-report/SecReport,ChatGPT加持的，多人在线协同信息安全报告编写平台。目前支持的报告类型：渗透测试报告，APP隐私合规报告。,https://github.com/sec-report/SecReport,['rce'],1,2024-06-17T16:10:31+0000,133,107,Python,7,[]
chaitin/SafeLine,"A web security gateway, serve as a reverse proxy to protect your websites from attacks and exploits.",https://github.com/chaitin/SafeLine,['exploit'],1,2024-06-17T08:34:39+0000,72367,10548,TypeScript,621,[]
DataDog/KubeHound,Kubernetes Attack Graph,https://github.com/DataDog/KubeHound,['exploit'],1,2024-06-17T18:51:46+0000,21326,690,Go,33,[]
SomnathDas/pwnNotes,Bits and pieces from my personal notes and scripts,https://github.com/SomnathDas/pwnNotes,['exploit'],1,2024-06-17T08:54:00+0000,6403,0,Python,0,[]
BenjiTrapp/cisa-known-vuln-scraper,Scraper for daily renewal of the Known Exploited Vulnerabilities Catalog by CISA,https://github.com/BenjiTrapp/cisa-known-vuln-scraper,['exploit'],1,2024-06-17T00:25:04+0000,1188681,4,Jupyter Notebook,1,[]
Mehdi0x90/Web_Hacking,Bug Bounty Tricks and useful payloads and bypasses for Web Application Security.,https://github.com/Mehdi0x90/Web_Hacking,['exploit'],1,2024-06-17T06:14:26+0000,581,194,,31,[]
lucagrippa/cisa-kev-archive,Storing historical snapshots of the CISA Known Exploited Vulnerabilities (KEV) list,https://github.com/lucagrippa/cisa-kev-archive,['exploit'],1,2024-06-17T23:32:00+0000,1046,0,,0,[]
synfinner/KEVin,The missing API for the CISA Known Exploited Vulnerabilities Catalog. This repository contains the source running at kevin.gtfkd.com,https://github.com/synfinner/KEVin,['exploit'],1,2024-06-17T16:15:37+0000,348,7,Python,0,[]
AndrePatri/LRHControl,Learning-based Receding Horizon Control exploiting Reinforcement Learning,https://github.com/AndrePatri/LRHControl,['exploit'],1,2024-06-17T08:50:58+0000,2700,2,Python,0,[]
cultureelerfgoed/rce-thesauri-backup,Automatic thesauri backups from RCE PoolParty,https://github.com/cultureelerfgoed/rce-thesauri-backup,['rce'],1,2024-06-17T05:08:18+0000,272996,0,Python,0,[]
vulsio/vuls-data-raw-exploit-github,None,https://github.com/vulsio/vuls-data-raw-exploit-github,['exploit'],1,2024-06-17T00:13:35+0000,21036,0,,0,[]
vulsio/vuls-data-raw-exploit-inthewild,None,https://github.com/vulsio/vuls-data-raw-exploit-inthewild,['exploit'],1,2024-06-17T00:13:34+0000,27300,5,,1,[]
vulsio/vuls-data-raw-exploit-trickest,None,https://github.com/vulsio/vuls-data-raw-exploit-trickest,['exploit'],1,2024-06-17T00:13:48+0000,73147,0,,0,[]
mr-tomr/Exploits,Fixed Exploits from Exploit DB,https://github.com/mr-tomr/Exploits,['exploit'],1,2024-06-17T02:43:20+0000,40,0,Python,0,[]
Cinnapoodle/chronospace,A series of text-based stories about a corrupt Internet through the eyes of two Web exploiters,https://github.com/Cinnapoodle/chronospace,['exploit'],1,2024-06-17T02:31:25+0000,217,1,HTML,0,[]
synthesinglegend/Multi-Exploit-selfleak,Exploit wrapper for IoT devices written in C++.,https://github.com/synthesinglegend/Multi-Exploit-selfleak,['exploit'],1,2024-06-17T09:54:48+0000,29,1,C++,0,[]
Xewdy444/Netgrave,A tool for retrieving login credentials from Netwave IP cameras using a memory dump vulnerability (CVE-2018-17240),https://github.com/Xewdy444/Netgrave,['exploit'],1,2024-06-17T15:41:22+0000,97,2,Python,1,['CVE-2018-17240']
tomchuoi/PE_Analysis,PE malware training exercises,https://github.com/tomchuoi/PE_Analysis,['shellcode'],1,2024-06-17T01:20:55+0000,186,3,Assembly,0,[]
ernestang98/win-exploits,None,https://github.com/ernestang98/win-exploits,['exploit'],1,2024-06-17T05:11:31+0000,94374,0,ActionScript,1,[]
MishaJain100/Web-Exploitation,None,https://github.com/MishaJain100/Web-Exploitation,['exploit'],1,2024-06-17T13:39:48+0000,7967,0,HTML,0,[]
wolfhechel/sidor,"A feed reader exploiting and overusing the scroll pattern, best on mobile.",https://github.com/wolfhechel/sidor,['exploit'],1,2024-06-17T20:59:21+0000,132,0,Svelte,0,[]
cve-sandbox-bot/cve_sandbox,"A curated list of CVEs, respective PoC and a docker/vm to test it.",https://github.com/cve-sandbox-bot/cve_sandbox,['cve poc'],1,2024-06-17T03:12:54+0000,73429,0,CSS,0,[]
ACK-J/MailFail,MailFail identifies and provides commands to exploit a large number of email-related misconfigurations for the current domain and subdomain. The extensions UI popup highlights any misconfigurations in red and links to the supporting documentation.,https://github.com/ACK-J/MailFail,['exploit'],1,2024-06-17T16:50:40+0000,997,9,CSS,0,[]
Ch4120N/Charon-XSS-Scanner,Charon XSS Scanner: Vulnerability (XSS) scanner exploit,https://github.com/Ch4120N/Charon-XSS-Scanner,['exploit'],1,2024-06-17T16:38:31+0000,201,3,Python,1,[]
dlg1206/exploit-lab,Dockerized labs with examples of various exploits,https://github.com/dlg1206/exploit-lab,['exploit'],1,2024-06-17T16:36:45+0000,28,1,Java,0,[]
RammusLeo/DPMesh,"The repository contains the official implementation of ""DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery""",https://github.com/RammusLeo/DPMesh,['exploit'],1,2024-06-17T04:33:30+0000,2425,10,Python,2,[]
phannhat17/metasploit-web-interface,Web interface for using Metasploit Framework,https://github.com/phannhat17/metasploit-web-interface,['metasploit module OR payload'],1,2024-06-17T16:47:38+0000,29358,1,TypeScript,0,[]
For-ACGN/hash_api,Find&Call Windows API by hash+key.,https://github.com/For-ACGN/hash_api,['shellcode'],1,2024-06-17T09:16:34+0000,236,0,Assembly,0,[]
mranish592/remote-code,Collaborative online IDE with remote code execution in various languages.,https://github.com/mranish592/remote-code,['remote code execution'],1,2024-06-17T17:06:05+0000,1379,1,JavaScript,0,[]
issahar987/CRAPI,Automation of exploits in CRAPI,https://github.com/issahar987/CRAPI,['exploit'],1,2024-06-17T03:17:26+0000,2043,0,Go,0,[]
