full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
ronin-rb/ronin,"Ronin is a Free and Open Source Ruby Toolkit for Security Research and Development. Ronin also allows for the rapid development and distribution of code, exploits, payloads, etc, via 3rd party git repositories.",https://github.com/ronin-rb/ronin,['exploit'],1,2024-01-10T15:08:57+0000,8729,601,Ruby,51,[]
whitfieldsdad/cisa_kev,A dependency-free Python 3 module for working with the CISA Known Exploited Vulnerabilities (KEV) catalog,https://github.com/whitfieldsdad/cisa_kev,['exploit'],1,2024-01-10T04:01:26+0000,333,0,Python,0,[]
bothelpersgpt/WeAreExploit,None,https://github.com/bothelpersgpt/WeAreExploit,['exploit'],1,2024-01-10T04:19:23+0000,53,0,HTML,0,[]
kiro6/Binary-Exploitation-Notes,None,https://github.com/kiro6/Binary-Exploitation-Notes,['exploit'],1,2024-01-10T16:43:28+0000,104,0,,0,[]
MasterCode112/CVE-2023-27163,Proof of Concept for Server Side Request Forgery (SSRF) in request-baskets (V<= v.1.2.1),https://github.com/MasterCode112/CVE-2023-27163,['cve-2 OR cve_2'],1,2024-01-10T07:57:35+0000,740,0,Shell,0,['CVE-2023-27163']
shad0w0sec/CVE-2023-1454-EXP,JeecgBoot SQL（CVE-2023-1454）sqlmap 注入不出来的情况可以使用该脚本,https://github.com/shad0w0sec/CVE-2023-1454-EXP,['cve-2 OR cve_2'],1,2024-01-10T08:09:11+0000,9,0,Python,0,['CVE-2023-1454']
Aditya-dom/Rusty-arsenal,A collection of experimental Post-Exploitation Techniques & Process Injection using Rust.,https://github.com/Aditya-dom/Rusty-arsenal,['exploit'],1,2024-01-10T18:24:05+0000,4927,1,Rust,1,[]
Sreenathsachu/AndroClicks,A Simple android remote administration tool using sockets. It uses java on the client side and python on the server side  Topics android python java interpreter backdoor reverse-shell exploit sockets apk android-application rat hacktoberfest android-rat an,https://github.com/Sreenathsachu/AndroClicks,['exploit'],1,2024-01-10T18:53:46+0000,4144,0,Java,0,[]
smarterToby/ValorantRPC,Broadcast your Valorant exploits live on Discord with real-time status updates!,https://github.com/smarterToby/ValorantRPC,['exploit'],1,2024-01-10T16:53:17+0000,2003,0,TypeScript,0,[]
TheAnonymousXAlt/TEH,TheAnonymousXI's Exploit Hub,https://github.com/TheAnonymousXAlt/TEH,['exploit'],1,2024-01-10T00:03:40+0000,51,0,JavaScript,0,[]
pettaa123/CMH-Library,A collection of VI's to exploit the channeled message handler pattern,https://github.com/pettaa123/CMH-Library,['exploit'],1,2024-01-10T15:16:17+0000,144,0,LabVIEW,0,[]
Xewdy444/Netgrave,A tool for retrieving login credentials from Netwave IP cameras using a memory dump vulnerability (CVE-2018-17240),https://github.com/Xewdy444/Netgrave,['exploit'],1,2024-01-10T02:48:02+0000,63,0,Python,0,['CVE-2018-17240']
BobTheShoplifter/CVE-2023-52251-POC,CVE-2023-52251 There is a Remote Code Execution vulnerability provectus/kafka-ui.,https://github.com/BobTheShoplifter/CVE-2023-52251-POC,"['cve poc', 'cve-2 OR cve_2', 'remote code execution', 'vulnerability poc']",4,2024-01-10T15:54:21+0000,258,2,JavaScript,0,['CVE-2023-52251']
g-patin/RCE_2023-8005_MFT-Fotonowy,Create a working framework to process microfading data obtained with the device from Fotonowy.,https://github.com/g-patin/RCE_2023-8005_MFT-Fotonowy,['rce'],1,2024-01-10T07:27:46+0000,2496,0,Jupyter Notebook,0,[]
ArabianReiz/ScriptHub,Superior exploit database,https://github.com/ArabianReiz/ScriptHub,['exploit'],1,2024-01-10T02:28:29+0000,166,0,Lua,0,[]
maghje13/payload-generator,A simple python code to make it easier to generate metasploit payloads,https://github.com/maghje13/payload-generator,['metasploit module OR payload'],1,2024-01-10T10:34:45+0000,18,0,Python,0,[]
marnoldus/accelerate-crossover-using-symmetry,Exploiting Symmetry in the Generation Expansion Planning Problem to Accelate Crossover,https://github.com/marnoldus/accelerate-crossover-using-symmetry,['exploit'],1,2024-01-10T15:11:13+0000,8042,0,Julia,0,[]
Roblox-Thot/FakeSploit,Showing how easy it is.,https://github.com/Roblox-Thot/FakeSploit,['sploit'],1,2024-01-10T23:33:59+0000,14,0,Python,0,[]
vinit989/BugBazaar_Exploits,Writeups of BugBazaar,https://github.com/vinit989/BugBazaar_Exploits,['exploit'],1,2024-01-10T14:23:43+0000,4629,0,HTML,0,[]
blastersuraj/ef-inventory,"EF Inventory [Exploits Fixed] With Clean UI And Optimized [ Developer: UrvitGehlot, BlasterSuraj, Punit Dev & Arsh",https://github.com/blastersuraj/ef-inventory,['exploit'],1,2024-01-10T19:43:53+0000,26,1,,0,[]
cherrypopsicle/insurance-platform,A platform for both policy makers and  policy owners for smart contract exploit insurance,https://github.com/cherrypopsicle/insurance-platform,['exploit'],1,2024-01-10T02:49:19+0000,395,0,TypeScript,0,[]
vulsio/vuls-data-raw-exploit-inthewild,None,https://github.com/vulsio/vuls-data-raw-exploit-inthewild,['exploit'],1,2024-01-10T00:12:15+0000,32468,1,,1,[]
vulsio/vuls-data-raw-exploit-trickest,None,https://github.com/vulsio/vuls-data-raw-exploit-trickest,['exploit'],1,2024-01-10T00:12:22+0000,66099,0,,0,[]
mxdelta/WEB_EXPLOIT,None,https://github.com/mxdelta/WEB_EXPLOIT,['exploit'],1,2024-01-10T18:45:50+0000,8,0,,0,[]
