full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2024-03-06T00:28:59+0000,981113,32441,Ruby,13568,[]
knabben/dos-poc,Golang DDoS CVE POC,https://github.com/knabben/dos-poc,['cve poc'],1,2024-03-06T15:17:20+0000,65,1,Go,1,[]
gaelbresson/ExploitationTools,Here are a bunch of scripts you can use for exploitation purposes.,https://github.com/gaelbresson/ExploitationTools,['exploit'],1,2024-03-06T17:41:14+0000,18,0,PowerShell,0,[]
ASR511-OO7/CVE-2023-41504,None,https://github.com/ASR511-OO7/CVE-2023-41504,['cve-2 OR cve_2'],1,2024-03-06T11:35:02+0000,2,0,,0,['CVE-2023-41504']
LandiSimone/Vectorization-of-Ban-library,"In this project, we presented the acceleration of a C++ library for Bounded Algorithmic Numbers (BAN) by exploiting vector instructions. We also presented a non-Archimedean optimization benchmark with numerous iterations, used to evaluate the goodness of v",https://github.com/LandiSimone/Vectorization-of-Ban-library,['exploit'],1,2024-03-06T17:02:35+0000,6457,1,Makefile,0,[]
diego-collado/Hacking_Labs,"Laboratorios preparados para realizar cualquiera de los ataques más comunes que hay disponible en la red (XSS, Metasploit...).",https://github.com/diego-collado/Hacking_Labs,['metasploit module OR payload'],1,2024-03-06T12:25:52+0000,11512,0,,0,[]
goblinious1/ONC-Exploit,(its pronounced  Ah-n-k (no i didnt make the name but i still get to choose how you pronounce it)),https://github.com/goblinious1/ONC-Exploit,['exploit'],1,2024-03-06T17:01:53+0000,25,0,HTML,0,[]
elpe-pinillo/CVE-2023-6246,None,https://github.com/elpe-pinillo/CVE-2023-6246,['cve-2 OR cve_2'],1,2024-03-06T20:12:50+0000,93,0,C,0,['CVE-2023-6246']
Keirosx/PROOFCORE-Dayz-Cheat-Hack-Aimbot-Esp-Exploit-Magic-Bullet-Spoofer-Misc,"A project that offers cheats developed with C++ for DayZ. It aims to improve the game experience with features such as Aimbot, ESP, Spoof.",https://github.com/Keirosx/PROOFCORE-Dayz-Cheat-Hack-Aimbot-Esp-Exploit-Magic-Bullet-Spoofer-Misc,['exploit'],1,2024-03-06T04:53:34+0000,862,0,C#,0,[]
Jeetu855/Binary-Exploitation,None,https://github.com/Jeetu855/Binary-Exploitation,['exploit'],1,2024-03-06T16:11:16+0000,80,0,Python,0,[]
NJareau/C0NTR0L,"A very high quality unblocked game/proxy site for all of your needs we have unblocked games, proxies, scripts, exploits, ai and more",https://github.com/NJareau/C0NTR0L,['exploit'],1,2024-03-06T22:39:46+0000,11,1,,0,[]
cegatte/UAC-Bypass-FUD,"UAC bypass, Elevate, Persistence methods",https://github.com/cegatte/UAC-Bypass-FUD,['exploit'],1,2024-03-06T04:58:34+0000,46,0,C#,0,[]
Elsie-Kgafela/Discord-RAT-2.0,"Discord Remote Administration Tool fully written in c#, stub size of ~75kb, over 40 post exploitations modules - moom825/Discord-RAT-2.0",https://github.com/Elsie-Kgafela/Discord-RAT-2.0,['exploit'],1,2024-03-06T03:28:13+0000,11072,0,C#,0,[]
Pikkachau/C.A.F.E.,C. A. F. E. Is an exploit that uses asterisks to force a chatbot to do anything you want!,https://github.com/Pikkachau/C.A.F.E.,['exploit'],1,2024-03-06T17:15:28+0000,848,1,,0,[]
amypayno09/NezurAI,"Experience the future of Roblox exploiting with Nezur Roblox Hack, offering a safe and comprehensive suite of cheats including ESP, Aimbot, and more.",https://github.com/amypayno09/NezurAI,['exploit'],1,2024-03-06T04:59:38+0000,488,0,,0,[]
aexonf/cuppa-cms-RFI-exploit,EXPLOIT cuppa cms RFI,https://github.com/aexonf/cuppa-cms-RFI-exploit,['exploit'],1,2024-03-06T02:10:02+0000,1,2,PHP,0,[]
hooded-person/computercraft-backdoor,minor modifications to code from craftos-pc remote by JackMackWindows to hide the execution of the program to create a backdoor into the computer,https://github.com/hooded-person/computercraft-backdoor,['remote code execution'],1,2024-03-06T16:35:42+0000,12,0,Lua,0,[]
Cavalo01/exploit-ghostpacket,None,https://github.com/Cavalo01/exploit-ghostpacket,['exploit'],1,2024-03-06T00:02:57+0000,0,0,Shell,0,[]
