full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2023-12-06T16:32:43+0000,987193,31787,Ruby,13660,[]
anishferoz007/Binary-Exploitation,My Binary Exploitation Collection.,https://github.com/anishferoz007/Binary-Exploitation,['exploit'],1,2023-12-06T12:40:18+0000,13,0,C,0,[]
smokeintheshell/CVE-2023-20198,CVE-2023-20198 Exploit PoC,https://github.com/smokeintheshell/CVE-2023-20198,"['cve poc', 'cve-2 OR cve_2', 'exploit']",3,2023-12-06T00:52:15+0000,24,6,Python,0,['CVE-2023-20198']
t34t/heap_exploit_learning,None,https://github.com/t34t/heap_exploit_learning,['exploit'],1,2023-12-06T07:38:45+0000,3443,1,,0,[]
MrXiao7/Notes,在科锐学习逆向工程中的笔记，大概内容为8086汇编，win32汇编，调试器原理，pe文件格式，32位64位反汇编，壳的原理，shellcode，x86/x64内核,https://github.com/MrXiao7/Notes,['shellcode'],1,2023-12-06T03:09:13+0000,26331,1,,0,[]
MlgmXyysd/Xiaomi-HyperOS-BootLoader-Bypass,A PoC that exploits a vulnerability to bypass the Xiaomi HyperOS community restrictions of BootLoader unlocked account bindings.,https://github.com/MlgmXyysd/Xiaomi-HyperOS-BootLoader-Bypass,"['exploit', 'vulnerability poc']",2,2023-12-06T06:30:17+0000,47,518,PHP,124,[]
cola8888/shellcode_asm,None,https://github.com/cola8888/shellcode_asm,['shellcode'],1,2023-12-06T03:26:30+0000,40,0,Python,0,[]
AdrienT34490/Projet_exploitation_donnees,None,https://github.com/AdrienT34490/Projet_exploitation_donnees,['exploit'],1,2023-12-06T13:47:53+0000,64,0,Python,0,[]
Ch33z3head/x86-Exploitation_Projects,None,https://github.com/Ch33z3head/x86-Exploitation_Projects,['exploit'],1,2023-12-06T21:27:42+0000,98,0,Python,0,[]
Gh-Badr/CVE-2022-26923,A proof of concept exploiting CVE-2022-26923.,https://github.com/Gh-Badr/CVE-2022-26923,"['cve-2 OR cve_2', 'exploit']",2,2023-12-06T21:25:49+0000,4,0,Shell,0,['CVE-2022-26923']
Shotokhan/elf_manual_plt_shellcode,Example of run-time manual PLT in C,https://github.com/Shotokhan/elf_manual_plt_shellcode,['shellcode'],1,2023-12-06T15:08:46+0000,28,0,C,0,[]
jaibirsingh/Exploitation,None,https://github.com/jaibirsingh/Exploitation,['exploit'],1,2023-12-06T04:03:44+0000,18,0,,0,[]
cop-discord/skidarchive,a repository of bots that i exploit / pull the source of and nuke,https://github.com/cop-discord/skidarchive,['exploit'],1,2023-12-06T03:19:31+0000,26508,0,Python,0,[]
MixColumns/CVE-2023-49103,CVE-2023-49103 scanner for shodan.io downloaded json files,https://github.com/MixColumns/CVE-2023-49103,['cve-2 OR cve_2'],1,2023-12-06T12:17:57+0000,3,0,Python,0,['CVE-2023-49103']
d4redevilx/pivoting-linux-metasploit,None,https://github.com/d4redevilx/pivoting-linux-metasploit,['metasploit module OR payload'],1,2023-12-06T00:01:13+0000,60,0,,0,[]
d4redevilx/pivoting-windows-metasploit,None,https://github.com/d4redevilx/pivoting-windows-metasploit,['metasploit module OR payload'],1,2023-12-06T00:00:52+0000,101,0,,0,[]
matt7673/easy-exploit-site,just a thrown together exploited site,https://github.com/matt7673/easy-exploit-site,['exploit'],1,2023-12-06T04:31:11+0000,11069,0,Python,0,[]
i8mb/Chrome-OS-Exploits,"Chrome OS Exploits, is an website that has everything you need for unblocking games or proxies or just websites in general!",https://github.com/i8mb/Chrome-OS-Exploits,['exploit'],1,2023-12-06T02:51:53+0000,114,0,HTML,0,[]
badboycxcc/CVE-2023-24100,nuclei templates CVE RCE CNVD IoT,https://github.com/badboycxcc/CVE-2023-24100,"['cve-2 OR cve_2', 'rce']",2,2023-12-06T13:48:06+0000,5,0,,1,['CVE-2023-24100']
yhnbgf/autokeycloak,auto exploit keycloak http login,https://github.com/yhnbgf/autokeycloak,['exploit'],1,2023-12-06T06:10:08+0000,4,0,Python,0,[]
vulsio/vuls-data-raw-exploit-trickest,None,https://github.com/vulsio/vuls-data-raw-exploit-trickest,['exploit'],1,2023-12-06T18:01:38+0000,54721,0,,0,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2023-12-06T04:49:01+0000,22425,8995,JavaScript,2061,[]
vulsio/vuls-data-raw-exploit-inthewild,None,https://github.com/vulsio/vuls-data-raw-exploit-inthewild,['exploit'],1,2023-12-06T00:01:53+0000,30241,0,,0,[]
dbx0/oh-my-vault,Oh My Vault! is the ultimate framework created to exploit and automate pen testing on the OpenMediaVault NAS solution.,https://github.com/dbx0/oh-my-vault,['exploit'],1,2023-12-06T05:12:50+0000,29,0,Python,0,[]
bo-wen-zhang/battleground,Creating a remote code execution engine for an online programming platform.,https://github.com/bo-wen-zhang/battleground,['remote code execution'],1,2023-12-06T22:48:25+0000,28,0,Go,0,[]
cultureelerfgoed/rce-thesauri-backup,Automatic thesauri backups from RCE PoolParty,https://github.com/cultureelerfgoed/rce-thesauri-backup,['rce'],1,2023-12-06T04:07:36+0000,60273,0,Python,0,[]
zeroday2162/zeroday2162,my profiles,https://github.com/zeroday2162/zeroday2162,['zeroday'],1,2023-12-06T03:41:18+0000,3,0,,0,[]
alpha-roman/cisa_gov_known_exploited_vulnerabilities_mirror,None,https://github.com/alpha-roman/cisa_gov_known_exploited_vulnerabilities_mirror,['exploit'],1,2023-12-06T01:03:53+0000,796,0,,0,[]
Cyfrin/sc-exploits-minimized,A repo to showcase web3 hacks,https://github.com/Cyfrin/sc-exploits-minimized,['exploit'],1,2023-12-06T01:27:16+0000,8565,18,Solidity,2,[]
Elsie-Kgafela/Roblox-Exploit-API,A C# Roblox Exploiting API for the UWP distribution of the game. Its basically WeAreDevs API but it bypasses Byfron. - GitHub - game-hax/Roblox-Exploit-API: A C# Roblox Exploiting API for the UWP distribution of the game. Its basically WeAreDevs API but it,https://github.com/Elsie-Kgafela/Roblox-Exploit-API,['exploit'],1,2023-12-06T04:58:16+0000,100,0,C#,0,[]
Leo4j/Amnesiac,Amnesiac is a post-exploitation framework entirely written in PowerShell and designed to assist with lateral movement within Active Directory environments,https://github.com/Leo4j/Amnesiac,['exploit'],1,2023-12-06T09:19:53+0000,2658,146,PowerShell,32,[]
gemesa/shadow-shell,Cyber lab to explore different memory exploits,https://github.com/gemesa/shadow-shell,"['exploit', 'shellcode']",2,2023-12-06T18:46:26+0000,56,5,Assembly,1,[]
TheF0rceAwak5ns/TheF0rceAwak5ns.github.io,"Official blog of the group ""TheForceAwakens""",https://github.com/TheF0rceAwak5ns/TheF0rceAwak5ns.github.io,['rce'],1,2023-12-06T14:31:29+0000,4201,2,Ruby,0,[]
Jarva/FixContainerSlotExploit,None,https://github.com/Jarva/FixContainerSlotExploit,['exploit'],1,2023-12-06T15:19:41+0000,77,1,Java,0,[]
gooseisgoose/exploits-and-stuff,for school.,https://github.com/gooseisgoose/exploits-and-stuff,['exploit'],1,2023-12-06T22:46:04+0000,62,2,HTML,0,[]
IsThisMe01/ProjectL,Roblox Exploit,https://github.com/IsThisMe01/ProjectL,['exploit'],1,2023-12-06T03:56:48+0000,7533,2,Lua,1,[]
rpizziol/exploring-exploiting-index,None,https://github.com/rpizziol/exploring-exploiting-index,['exploit'],1,2023-12-06T15:37:24+0000,6364,0,Python,0,[]
lost-rob0t/hackmode,Interactive lisp as a exploit metaframework,https://github.com/lost-rob0t/hackmode,['exploit'],1,2023-12-06T15:48:37+0000,206,1,Common Lisp,0,[]
ashen-cloud/injeneer,RCE payload scanner/injector,https://github.com/ashen-cloud/injeneer,['rce'],1,2023-12-06T16:42:16+0000,59,0,Python,0,[]
