full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
ToxicCrerets/-Bitrefill-Time-Exploit,Takes advantage of https://www.bitrefill.com time-delays in order to recieve both product and refund using bitcoin.,https://github.com/ToxicCrerets/-Bitrefill-Time-Exploit,['exploit'],1,2023-07-12T22:20:37+0000,3,0,JavaScript,0,[]
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2023-07-12T16:57:05+0000,904834,30660,Ruby,13333,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2023-07-12T13:41:49+0000,22376,8571,JavaScript,1982,[]
Gallopsled/pwntools,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,"['exploit', 'shellcode']",2,2023-07-12T14:04:51+0000,27665,10388,Python,1619,[]
leebaird/discover,"Custom bash scripts used to automate various penetration testing tasks including recon, scanning,  enumeration, and malicious payload creation using Metasploit. For use with Kali Linux.",https://github.com/leebaird/discover,['metasploit module OR payload'],1,2023-07-12T20:24:26+0000,3359,3089,PowerShell,810,[]
pwndbg/pwndbg,Exploit Development and Reverse Engineering with GDB Made Easy,https://github.com/pwndbg/pwndbg,['exploit'],1,2023-07-12T20:48:50+0000,13798,5740,Python,766,[]
hugsy/gef,GEF (GDB Enhanced Features) - a modern experience for GDB with advanced debugging capabilities for exploit devs & reverse engineers on Linux,https://github.com/hugsy/gef,['exploit'],1,2023-07-12T04:59:51+0000,6709,5697,Python,660,[]
Windows-10-1234/GhostSploit-v3,A Roblox Exploit Download,https://github.com/Windows-10-1234/GhostSploit-v3,"['exploit', 'sploit']",2,2023-07-12T13:19:04+0000,0,0,,0,[]
Notorioua/Kali-s-Exploit-Roblox,"Kali's Exploit, More Known as KaliXploit Or Kali Exploit Is A Newly Developed Roblox Microsoft Store Version Exploit, containing many APIS even Our Own, KaliAPI. Kali's Exploit Was Made By Notorioua, I Am the Owner Of Notorioua AND WE AREN'T GONNA REVEAL O",https://github.com/Notorioua/Kali-s-Exploit-Roblox,['exploit'],1,2023-07-12T13:52:18+0000,9546,1,,0,[]
MetadataGitTesting/7yEuRCEI,None,https://github.com/MetadataGitTesting/7yEuRCEI,['rce'],1,2023-07-12T13:28:48+0000,0,0,,0,[]
Maxwitat/CVE-2023-36884-Scripts-for-Intune-Remediation-SCCM-Compliance-Baseline,The remediation script should set the reg entries described in https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884 . The detection script checks if they exist. Provided AS-IS without any warrenty.,https://github.com/Maxwitat/CVE-2023-36884-Scripts-for-Intune-Remediation-SCCM-Compliance-Baseline,['cve-2 OR cve_2'],1,2023-07-12T14:17:55+0000,1,0,PowerShell,1,['CVE-2023-36884']
m4now4r/shellcode-analysis_recover-api-from-hashes,None,https://github.com/m4now4r/shellcode-analysis_recover-api-from-hashes,['shellcode'],1,2023-07-12T14:46:36+0000,6,0,,0,[]
h00p03/Exploitly-HWID-Spoofer,Basic HWID Spoofer created by Exploitly Cybersec Team,https://github.com/h00p03/Exploitly-HWID-Spoofer,['exploit'],1,2023-07-12T14:54:09+0000,20,0,C#,0,[]
woerschir/roblox-exploits,Just Roblox exploits,https://github.com/woerschir/roblox-exploits,['exploit'],1,2023-07-12T15:12:42+0000,2,0,Lua,0,[]
