full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
alv-es/Metasploitable3,None,https://github.com/alv-es/Metasploitable3,['metasploit module OR payload'],1,2022-03-10T15:04:12+0000,0,0,,0,[]
MarcusWerren/Gravitational-Particle-Swarm-Optimisation-with-an-Exploitative-Approach-to-Train-Neural-Networks,None,https://github.com/MarcusWerren/Gravitational-Particle-Swarm-Optimisation-with-an-Exploitative-Approach-to-Train-Neural-Networks,['exploit'],1,2022-03-10T15:08:34+0000,0,0,Python,0,[]
bytec0pe/FortEx,"Undetected up-to-date internal Fortnite cheat, with multiple private exploits.",https://github.com/bytec0pe/FortEx,['exploit'],1,2022-03-10T15:55:04+0000,0,1,,0,[]
michaelklaan/CVE-2022-22947-Spring-Cloud,None,https://github.com/michaelklaan/CVE-2022-22947-Spring-Cloud,['cve-2 OR cve_2'],1,2022-03-10T16:08:33+0000,0,0,Python,0,['CVE-2022-22947']
michaelklaan/CVE-2022-0847-Dirty-Pipe,None,https://github.com/michaelklaan/CVE-2022-0847-Dirty-Pipe,['cve-2 OR cve_2'],1,2022-03-10T16:09:25+0000,0,0,,0,['CVE-2022-0847']
1048362671qqtt/NinjaJc01,Exploits for the TryHackMe room hackerNote,https://github.com/1048362671qqtt/NinjaJc01,['exploit'],1,2022-03-10T16:37:41+0000,0,0,,0,[]
zombibeef/ExploitDev,None,https://github.com/zombibeef/ExploitDev,['exploit'],1,2022-03-10T18:33:53+0000,0,0,,0,[]
GatoGamer1155/CVE-2021-3156,About Script en python sobre la vulnerabilidad CVE-2021-3156,https://github.com/GatoGamer1155/CVE-2021-3156,['cve-2 OR cve_2'],1,2022-03-10T19:10:47+0000,0,0,Python,0,['CVE-2021-3156']
XBrevity/DiscordTokenExploitFix,Patched for the newly founded token logger exploit [ONLY WORKS FOR BROWSER] ,https://github.com/XBrevity/DiscordTokenExploitFix,['exploit'],1,2022-03-10T19:58:35+0000,0,0,Python,0,[]
terabitSec/dirtyPipe-automaticRoot,"CVE-2022-0847 Python exploit to get root or write a no write permission, immutable or read-only mounted file.",https://github.com/terabitSec/dirtyPipe-automaticRoot,['exploit'],1,2022-03-10T20:20:07+0000,0,1,Python,0,['CVE-2022-0847']
0xbl4ckbeard/VulnServer-Exploits,Vulnserver exploits for different commands ,https://github.com/0xbl4ckbeard/VulnServer-Exploits,['exploit'],1,2022-03-10T20:34:03+0000,0,0,Python,0,[]
omerkv/pwn-journey,My exploits journey,https://github.com/omerkv/pwn-journey,['exploit'],1,2022-03-10T20:32:35+0000,0,0,,0,[]
rebel-bit/Log4j-RCE,None,https://github.com/rebel-bit/Log4j-RCE,['rce'],1,2022-03-10T22:02:09+0000,0,0,PHP,0,[]
ZortTechnologies/ZortTechnolgoiesExploitMakerExploits,None,https://github.com/ZortTechnologies/ZortTechnolgoiesExploitMakerExploits,['exploit'],1,2022-03-10T22:39:38+0000,1581,0,,0,[]
vesperlol/Extension-Spoofer,"A cool python exploit to spoof your payload into another extension like pdf, docx, png, jpg, mp3, etc.",https://github.com/vesperlol/Extension-Spoofer,['exploit'],1,2022-03-10T23:01:34+0000,0,4,Python,0,[]
mostwantedduck/cve-poc,None,https://github.com/mostwantedduck/cve-poc,['cve poc'],1,2022-03-10T23:01:34+0000,0,0,,0,[]
Anaas0/webmin_1_890_unauthenticated_remote_code_execution,None,https://github.com/Anaas0/webmin_1_890_unauthenticated_remote_code_execution,['remote code execution'],1,2022-03-10T23:07:17+0000,0,0,Puppet,0,[]
Gamogd/Exploit,My exploit,https://github.com/Gamogd/Exploit,['exploit'],1,2022-03-10T15:02:50+0000,0,0,,0,[]
exploitmaker2323/no-key-exploit2,None,https://github.com/exploitmaker2323/no-key-exploit2,['exploit'],1,2022-03-10T14:20:19+0000,0,0,,0,[]
VVeakee/CVE-2022-24990-POC,"仅仅是poc,并不是exp",https://github.com/VVeakee/CVE-2022-24990-POC,"['cve poc', 'cve-2 OR cve_2']",2,2022-03-10T03:37:19+0000,0,0,,0,['CVE-2022-24990']
inhack/DeFiHack-Hardhat,DeFiHack Solutions - Contracts and Exploit Codes,https://github.com/inhack/DeFiHack-Hardhat,['exploit'],1,2022-03-10T13:59:50+0000,0,0,Solidity,0,[]
An0th3r/CVE-2022-22947-exp,CVE-2022-22947 Exploit script,https://github.com/An0th3r/CVE-2022-22947-exp,"['cve-2 OR cve_2', 'exploit']",2,2022-03-10T03:55:46+0000,0,0,Python,0,['CVE-2022-22947']
Lemeilleurprince/Trojan-based-on-metasploit-generated-apk,None,https://github.com/Lemeilleurprince/Trojan-based-on-metasploit-generated-apk,['metasploit module OR payload'],1,2022-03-10T04:30:20+0000,0,0,,0,[]
cryst4lliz3/CVE-2021-44228,CVE-2021-44228 in Container,https://github.com/cryst4lliz3/CVE-2021-44228,['cve-2 OR cve_2'],1,2022-03-10T04:32:08+0000,0,0,,0,['CVE-2021-44228']
Lemeilleurprince/Lemeilleurprince-Trojan-based-on-metasploit-generated-apk,None,https://github.com/Lemeilleurprince/Lemeilleurprince-Trojan-based-on-metasploit-generated-apk,['metasploit module OR payload'],1,2022-03-10T05:17:29+0000,0,0,Java,0,[]
